,,,,,,,,,,,,,,,
 ESSID,BSSID, Power, channel,, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
,FA:EB:FC:7D:29:3B,,-72,,1, (not associated) ,,,,,,,,,
,44:66:FC:86:B1:75,,-72,,1, DC:71:37:2E:AA:07,,,,,,,,,
,DA:A1:19:0B:DD:97,,-62,,13, (not associated) ,TP-LINK_A1C5,\xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G,,,,,,,
,30:A1:FA:76:24:53,,-46,,8, 34:96:72:27:1C:9C,,,,,,,,,
,42:7B:DA:FE:B2:70,,-76,,1, (not associated) ,,,,,,,,,
,2C:5D:34:2B:CF:93,,-76,,2, BC:54:FC:01:75:FC,,,,,,,,,
,34:CE:00:A2:8B:34,,-76,,3, (not associated) ,903,,,,,,,,
,46:86:92:41:C8:CC,,-68,,1, (not associated) ,,,,,,,,,
,00:07:A8:BF:96:BA,,-62,,2, (not associated) ,\xE9\xAD.\xE8..,,,,,,,,
,88:6A:B1:F1:8A:4B,,-56,,13, (not associated) ,,,,,,,,,
,A8:7D:12:2A:6E:BD,,-46,,1, 28:2C:B2:B5:48:DA,,,,,,,,,
,AE:AE:AA:99:9A:F8,,-72,,1, (not associated) ,,,,,,,,,
,DA:A1:19:3E:C5:C4,,-62,,1, (not associated) ,,,,,,,,,
,24:F6:77:45:D3:96,,-74,,2, 78:44:FD:DD:04:5A,,,,,,,,,
,64:09:80:24:EF:54,,-64,,1, (not associated) ,KEMP,,,,,,,,
,3C:CD:5D:1E:D5:4F,,-70,,3, (not associated) ,fanyuli,,,,,,,,
,94:87:E0:57:6F:F9,,-70,,2, BC:D1:77:DC:C2:8E,,,,,,,,,
,CC:08:FB:31:6B:A5,,-70,,1, 30:FC:68:C5:54:19,,,,,,,,,
,DA:A1:19:00:C6:69,,-38,,4, (not associated) ,sfddwrt,,,,,,,,
